ticket_id,created_ts,first_response_ts,resolved_ts,channel,issue_type,agent_id,handle_seconds,acw_seconds,first_touch_resolved
T0000021,2025-11-10T09:21:31.762055-06:00,2025-11-10T09:21:31.762055-06:00,2025-11-10T09:27:25.827377-06:00,email,bug,A015,309,81,True
T0000019,2025-11-10T09:23:10.939460-06:00,2025-11-10T09:23:10.939460-06:00,2025-11-10T09:26:35.067089-06:00,chat,billing,A001,194,53,False
T0000003,2025-11-10T09:26:14.879984-06:00,2025-11-10T09:26:14.879984-06:00,2025-11-10T09:31:19.653916-06:00,email,billing,A014,253,69,False
T0000012,2025-11-10T09:26:18.454077-06:00,2025-11-10T09:26:18.454077-06:00,2025-11-10T09:30:34.676251-06:00,email,billing,A018,216,99,True
T0000014,2025-11-10T09:26:51.713282-06:00,2025-11-10T09:26:51.713282-06:00,2025-11-10T09:29:18.039741-06:00,chat,login,A003,143,38,True
T0000018,2025-11-10T09:27:43.769439-06:00,2025-11-10T09:27:43.769439-06:00,2025-11-10T09:34:12.876775-06:00,email,billing,A012,346,58,True
T0000010,2025-11-10T09:27:48.073508-06:00,2025-11-10T09:27:48.073508-06:00,2025-11-10T09:31:07.825418-06:00,email,billing,A019,158,68,False
T0000002,2025-11-10T09:29:27.032111-06:00,2025-11-10T09:29:27.032111-06:00,2025-11-10T09:33:02.755156-06:00,email,billing,A020,195,39,True
T0000031,2025-11-10T09:30:18.654700-06:00,2025-11-10T09:30:18.654714-06:00,2025-11-10T09:36:30.539346-06:00,email,login,A001,334,29,True
T0000044,2025-11-10T09:31:10.012462-06:00,2025-11-10T09:31:10.012494-06:00,2025-11-10T09:35:05.254216-06:00,chat,login,A010,192,70,False
T0000025,2025-11-10T09:31:53.176408-06:00,2025-11-10T09:31:53.176436-06:00,2025-11-10T09:36:02.801978-06:00,email,billing,A011,212,39,False
T0000030,2025-11-10T09:33:03.480850-06:00,2025-11-10T09:33:03.480852-06:00,2025-11-10T09:37:35.484005-06:00,chat,login,A013,242,45,False
T0000039,2025-11-10T09:33:24.772432-06:00,2025-11-10T09:33:24.772451-06:00,2025-11-10T09:37:36.931864-06:00,email,login,A015,244,86,True
T0000051,2025-11-10T09:35:05.796015-06:00,2025-11-10T09:35:05.796040-06:00,2025-11-10T09:39:11.987261-06:00,phone,login,A001,223,60,True
T0000028,2025-11-10T09:35:25.073174-06:00,2025-11-10T09:35:25.073270-06:00,2025-11-10T09:38:53.379413-06:00,email,bug,A013,206,52,True
T0000038,2025-11-10T09:36:08.040096-06:00,2025-11-10T09:36:08.040112-06:00,2025-11-10T09:42:02.986562-06:00,email,login,A016,299,76,True
T0000041,2025-11-10T09:36:40.123897-06:00,2025-11-10T09:36:40.123947-06:00,2025-11-10T09:41:25.449911-06:00,chat,login,A020,282,44,True
T0000034,2025-11-10T09:36:50.719891-06:00,2025-11-10T09:36:50.719904-06:00,2025-11-10T09:40:03.565938-06:00,phone,login,A014,174,52,False
T0000024,2025-11-10T09:37:07.705560-06:00,2025-11-10T09:37:07.705576-06:00,2025-11-10T09:42:11.006263-06:00,phone,billing,A012,271,39,True
T0000026,2025-11-10T09:39:03.310416-06:00,2025-11-10T09:39:03.310446-06:00,2025-11-10T09:42:52.158412-06:00,chat,bug,A001,198,61,True
T0000029,2025-11-10T09:42:58.008736-06:00,2025-11-10T09:42:58.008754-06:00,2025-11-10T09:47:48.403675-06:00,email,login,A017,250,71,True
T0000052,2025-11-10T09:43:08.275375-06:00,2025-11-10T09:43:08.275390-06:00,2025-11-10T09:47:13.130298-06:00,chat,billing,A010,194,63,True
T0000043,2025-11-10T09:43:44.520490-06:00,2025-11-10T09:43:44.520583-06:00,2025-11-10T09:49:35.018732-06:00,chat,login,A004,343,67,True
T0000050,2025-11-10T09:43:53.612461-06:00,2025-11-10T09:43:53.612477-06:00,2025-11-10T09:49:12.663897-06:00,chat,billing,A016,310,73,True
T0000037,2025-11-10T09:46:22.546922-06:00,2025-11-10T09:46:22.547141-06:00,2025-11-10T09:50:10.984699-06:00,email,billing,A012,208,48,True
T0000035,2025-11-10T09:46:36.793118-06:00,2025-11-10T09:46:36.793124-06:00,2025-11-10T09:51:48.369294-06:00,phone,bug,A007,269,39,False
T0000036,2025-11-10T09:47:06.428336-06:00,2025-11-10T09:47:06.428403-06:00,2025-11-10T09:51:17.563061-06:00,phone,login,A019,229,32,False
T0000042,2025-11-10T09:47:37.804293-06:00,2025-11-10T09:47:37.804313-06:00,2025-11-10T09:51:29.173593-06:00,chat,billing,A013,212,39,True
T0000032,2025-11-10T09:48:49.918924-06:00,2025-11-10T09:48:49.918954-06:00,2025-11-10T09:53:56.871932-06:00,chat,billing,A011,296,50,True
T0000047,2025-11-10T09:49:11.875237-06:00,2025-11-10T09:49:11.875357-06:00,2025-11-10T09:52:44.075100-06:00,phone,login,A005,166,43,True
T0000033,2025-11-10T09:50:07.726022-06:00,2025-11-10T09:50:07.726043-06:00,2025-11-10T09:52:58.140266-06:00,chat,billing,A019,169,58,True
T0000048,2025-11-10T09:51:12.371122-06:00,2025-11-10T09:51:12.371184-06:00,2025-11-10T09:55:24.468746-06:00,email,bug,A014,214,56,True
T0000023,2025-11-10T09:51:42.844998-06:00,2025-11-10T09:51:42.845000-06:00,2025-11-10T09:57:03.155733-06:00,chat,billing,A008,266,84,True
T0000040,2025-11-10T09:52:57.987037-06:00,2025-11-10T09:52:57.987075-06:00,2025-11-10T09:56:57.996089-06:00,email,billing,A006,236,84,True
T0000049,2025-11-10T09:55:01.183372-06:00,2025-11-10T09:55:01.183374-06:00,2025-11-10T10:00:18.051071-06:00,phone,billing,A017,308,67,True
T0000027,2025-11-10T09:57:02.976096-06:00,2025-11-10T09:57:02.976108-06:00,2025-11-10T10:03:16.156513-06:00,chat,login,A016,318,70,False
T0000022,2025-11-10T09:58:12.722470-06:00,2025-11-10T09:58:12.722474-06:00,2025-11-10T10:03:35.234832-06:00,chat,bug,A009,289,78,True
T0000046,2025-11-10T09:58:32.844557-06:00,2025-11-10T09:58:32.844598-06:00,2025-11-10T10:05:00.947915-06:00,chat,billing,A015,331,30,True
T0000045,2025-11-10T09:59:37.808029-06:00,2025-11-10T09:59:37.808053-06:00,2025-11-10T10:04:39.926058-06:00,phone,billing,A005,274,65,True
T0000069,2025-11-10T10:02:11.505563-06:00,2025-11-10T10:02:11.505569-06:00,2025-11-10T10:05:34.324700-06:00,email,billing,A005,175,58,False
T0000080,2025-11-10T10:05:00.780158-06:00,2025-11-10T10:05:00.780161-06:00,2025-11-10T10:08:41.618453-06:00,email,bug,A010,219,52,True
T0000055,2025-11-10T10:07:07.857769-06:00,2025-11-10T10:07:07.857790-06:00,2025-11-10T10:10:09.339737-06:00,chat,login,A017,177,43,True
T0000056,2025-11-10T10:07:52.428561-06:00,2025-11-10T10:07:52.428563-06:00,2025-11-10T10:13:26.973181-06:00,phone,login,A020,296,66,True
T0000073,2025-11-10T10:07:54.126502-06:00,2025-11-10T10:07:54.126523-06:00,2025-11-10T10:13:04.936773-06:00,email,login,A014,311,180,True
T0000079,2025-11-10T10:09:32.967360-06:00,2025-11-10T10:09:32.967363-06:00,2025-11-10T10:12:40.749396-06:00,chat,bug,A009,184,23,True
T0000062,2025-11-10T10:09:43.029570-06:00,2025-11-10T10:09:43.029577-06:00,2025-11-10T10:13:14.812290-06:00,phone,login,A014,181,86,False
T0000061,2025-11-10T10:10:25.743157-06:00,2025-11-10T10:10:25.743176-06:00,2025-11-10T10:15:45.249716-06:00,email,login,A001,262,62,False
T0000066,2025-11-10T10:11:02.225266-06:00,2025-11-10T10:11:02.225283-06:00,2025-11-10T10:14:34.572241-06:00,email,billing,A016,192,36,True
T0000064,2025-11-10T10:11:26.833898-06:00,2025-11-10T10:11:26.833904-06:00,2025-11-10T10:16:34.803494-06:00,chat,login,A004,264,44,True
T0000074,2025-11-10T10:13:18.562164-06:00,2025-11-10T10:13:18.562171-06:00,2025-11-10T10:17:01.559386-06:00,email,bug,A003,218,45,True
T0000063,2025-11-10T10:14:39.193452-06:00,2025-11-10T10:14:39.193471-06:00,2025-11-10T10:20:29.502235-06:00,chat,login,A002,320,59,False
T0000077,2025-11-10T10:15:51.033821-06:00,2025-11-10T10:15:51.033839-06:00,2025-11-10T10:20:53.206211-06:00,email,billing,A005,244,62,False
T0000070,2025-11-10T10:16:26.766791-06:00,2025-11-10T10:16:26.766824-06:00,2025-11-10T10:21:25.510413-06:00,email,billing,A013,242,88,True
T0000059,2025-11-10T10:17:18.169525-06:00,2025-11-10T10:17:18.169543-06:00,2025-11-10T10:21:13.613804-06:00,email,login,A010,226,46,True
T0000054,2025-11-10T10:19:26.608520-06:00,2025-11-10T10:19:26.608532-06:00,2025-11-10T10:25:19.136291-06:00,email,billing,A013,331,54,False
T0000076,2025-11-10T10:22:11.758439-06:00,2025-11-10T10:22:11.758447-06:00,2025-11-10T10:26:57.666761-06:00,email,login,A004,255,35,True
T0000071,2025-11-10T10:22:49.908691-06:00,2025-11-10T10:22:49.908727-06:00,2025-11-10T10:28:20.617437-06:00,email,login,A020,299,54,True
T0000058,2025-11-10T10:23:30.400830-06:00,2025-11-10T10:23:30.400864-06:00,2025-11-10T10:27:56.327469-06:00,email,login,A015,231,88,True
T0000078,2025-11-10T10:23:54.577779-06:00,2025-11-10T10:23:54.577787-06:00,2025-11-10T10:31:56.789951-06:00,email,login,A016,451,44,True
T0000072,2025-11-10T10:25:27.457783-06:00,2025-11-10T10:25:27.457787-06:00,2025-11-10T10:29:37.979033-06:00,email,bug,A006,226,31,True
T0000053,2025-11-10T10:25:51.192912-06:00,2025-11-10T10:25:51.192916-06:00,2025-11-10T10:30:30.617042-06:00,chat,login,A005,269,54,True
T0000068,2025-11-10T10:27:11.257626-06:00,2025-11-10T10:27:11.257678-06:00,2025-11-10T10:32:53.182276-06:00,chat,billing,A004,312,60,True
T0000065,2025-11-10T10:28:04.434314-06:00,2025-11-10T10:28:04.434318-06:00,2025-11-10T10:33:14.648839-06:00,chat,billing,A002,286,52,True
T0000060,2025-11-10T10:28:17.821710-06:00,2025-11-10T10:28:17.821722-06:00,2025-11-10T10:32:52.618487-06:00,chat,bug,A016,231,104,True
T0000075,2025-11-10T10:28:26.287223-06:00,2025-11-10T10:28:26.287256-06:00,2025-11-10T10:31:50.600458-06:00,email,billing,A007,170,78,True
T0000081,2025-11-10T10:29:05.677413-06:00,2025-11-10T10:29:05.677420-06:00,2025-11-10T10:32:21.666040-06:00,chat,login,A018,194,56,True
T0000067,2025-11-10T10:29:08.523327-06:00,2025-11-10T10:29:08.523334-06:00,2025-11-10T10:32:10.490483-06:00,phone,login,A019,177,55,False
T0000057,2025-11-10T10:29:57.408447-06:00,2025-11-10T10:29:57.408449-06:00,2025-11-10T10:33:43.922554-06:00,chat,login,A013,201,53,False
T0000119,2025-11-10T10:31:08.011599-06:00,2025-11-10T10:31:08.014633-06:00,2025-11-10T10:35:26.168099-06:00,email,bug,A007,199,57,True
T0000120,2025-11-10T10:32:07.207736-06:00,2025-11-10T10:32:07.217742-06:00,2025-11-10T10:36:34.009485-06:00,phone,billing,A001,234,69,False
T0000092,2025-11-10T10:32:47.990616-06:00,2025-11-10T10:32:48.005024-06:00,2025-11-10T10:36:15.603798-06:00,email,billing,A006,197,50,True
T0000122,2025-11-10T10:33:27.524268-06:00,2025-11-10T10:33:27.532145-06:00,2025-11-10T10:36:43.821835-06:00,phone,login,A016,141,63,True
T0000095,2025-11-10T10:33:36.004949-06:00,2025-11-10T10:33:36.007526-06:00,2025-11-10T10:38:13.514656-06:00,email,bug,A001,246,69,True
T0000099,2025-11-10T10:34:09.196742-06:00,2025-11-10T10:34:09.216230-06:00,2025-11-10T10:38:17.711009-06:00,chat,login,A004,241,56,True
T0000117,2025-11-10T10:34:32.449713-06:00,2025-11-10T10:34:32.458934-06:00,2025-11-10T10:38:40.408990-06:00,chat,login,A006,242,69,False
T0000110,2025-11-10T10:37:11.297698-06:00,2025-11-10T10:37:11.316345-06:00,2025-11-10T10:42:16.188240-06:00,phone,bug,A008,253,53,True
T0000106,2025-11-10T10:37:17.195226-06:00,2025-11-10T10:37:17.231009-06:00,2025-11-10T10:41:50.735157-06:00,chat,login,A004,229,48,True
T0000115,2025-11-10T10:37:22.978421-06:00,2025-11-10T10:37:23.028049-06:00,2025-11-10T10:40:42.932885-06:00,phone,login,A019,159,108,True
T0000082,2025-11-10T10:39:09.456532-06:00,2025-11-10T10:39:09.462240-06:00,2025-11-10T10:43:56.896897-06:00,chat,billing,A005,229,38,False
T0000111,2025-11-10T10:39:49.163740-06:00,2025-11-10T10:39:49.169282-06:00,2025-11-10T10:43:48.884117-06:00,email,billing,A011,232,57,True
T0000090,2025-11-10T10:40:11.486179-06:00,2025-11-10T10:40:11.496433-06:00,2025-11-10T10:45:12.114975-06:00,email,login,A018,244,86,True
T0000113,2025-11-10T10:40:48.237038-06:00,2025-11-10T10:40:48.244930-06:00,2025-11-10T10:45:26.968809-06:00,email,login,A001,276,64,True
T0000118,2025-11-10T10:42:21.217931-06:00,2025-11-10T10:42:21.218850-06:00,2025-11-10T10:45:34.538128-06:00,email,billing,A015,192,63,False
T0000089,2025-11-10T10:42:54.334560-06:00,2025-11-10T10:42:54.339893-06:00,2025-11-10T10:47:05.247273-06:00,phone,login,A013,216,62,True
T0000102,2025-11-10T10:43:48.949196-06:00,2025-11-10T10:43:48.951348-06:00,2025-11-10T10:50:09.150166-06:00,chat,bug,A011,351,90,True
T0000088,2025-11-10T10:45:27.984589-06:00,2025-11-10T10:45:27.994669-06:00,2025-11-10T10:48:54.975573-06:00,email,bug,A004,173,73,True
T0000109,2025-11-10T10:45:32.232889-06:00,2025-11-10T10:45:32.245175-06:00,2025-11-10T10:50:35.795724-06:00,phone,bug,A012,261,47,True
T0000093,2025-11-10T10:45:48.146134-06:00,2025-11-10T10:45:48.151570-06:00,2025-11-10T10:49:50.506196-06:00,chat,login,A006,221,25,True
T0000121,2025-11-10T10:45:51.634537-06:00,2025-11-10T10:45:51.662172-06:00,2025-11-10T10:50:21.372388-06:00,email,bug,A005,214,52,False
T0000114,2025-11-10T10:46:26.616117-06:00,2025-11-10T10:46:26.627543-06:00,2025-11-10T10:49:51.869803-06:00,phone,login,A017,178,77,True
T0000108,2025-11-10T10:46:58.015786-06:00,2025-11-10T10:46:58.023721-06:00,2025-11-10T10:50:58.474981-06:00,email,login,A016,236,93,False
T0000123,2025-11-10T10:48:43.722721-06:00,2025-11-10T10:48:43.735433-06:00,2025-11-10T10:53:51.647406-06:00,phone,login,A014,304,37,True
T0000098,2025-11-10T10:48:43.964869-06:00,2025-11-10T10:48:43.996777-06:00,2025-11-10T10:53:16.434106-06:00,phone,bug,A015,223,75,True
T0000084,2025-11-10T10:50:06.362933-06:00,2025-11-10T10:50:06.364127-06:00,2025-11-10T10:54:57.113659-06:00,chat,login,A015,247,40,True
T0000085,2025-11-10T10:50:11.689319-06:00,2025-11-10T10:50:11.715067-06:00,2025-11-10T10:55:10.336544-06:00,chat,login,A008,239,47,True
T0000101,2025-11-10T10:50:14.413186-06:00,2025-11-10T10:50:14.442904-06:00,2025-11-10T10:54:24.524567-06:00,email,billing,A017,247,67,True
T0000112,2025-11-10T10:50:49.840600-06:00,2025-11-10T10:50:49.845376-06:00,2025-11-10T10:57:56.457769-06:00,phone,billing,A020,377,71,True
T0000124,2025-11-10T10:51:09.781533-06:00,2025-11-10T10:51:09.818090-06:00,2025-11-10T10:56:37.044485-06:00,phone,login,A006,287,48,True
T0000100,2025-11-10T10:51:32.828391-06:00,2025-11-10T10:51:32.852415-06:00,2025-11-10T10:55:12.087158-06:00,email,login,A010,213,73,True
T0000097,2025-11-10T10:51:47.888576-06:00,2025-11-10T10:51:47.888950-06:00,2025-11-10T10:57:25.479695-06:00,chat,billing,A017,296,46,True
T0000104,2025-11-10T10:51:54.896663-06:00,2025-11-10T10:51:54.908211-06:00,2025-11-10T10:55:32.180094-06:00,email,login,A011,204,69,True
T0000107,2025-11-10T10:52:07.167493-06:00,2025-11-10T10:52:07.167895-06:00,2025-11-10T10:56:22.982122-06:00,email,bug,A018,229,67,True
T0000096,2025-11-10T10:54:16.385790-06:00,2025-11-10T10:54:16.405537-06:00,2025-11-10T10:58:21.671097-06:00,chat,login,A004,189,62,False
T0000116,2025-11-10T10:55:49.088083-06:00,2025-11-10T10:55:49.111688-06:00,2025-11-10T10:59:32.146343-06:00,phone,billing,A009,196,46,True
T0000083,2025-11-10T10:56:06.189825-06:00,2025-11-10T10:56:06.217935-06:00,2025-11-10T11:00:24.704444-06:00,email,billing,A013,224,58,False
T0000105,2025-11-10T10:57:35.286155-06:00,2025-11-10T10:57:35.321785-06:00,2025-11-10T11:01:40.009019-06:00,phone,bug,A016,190,56,True
T0000087,2025-11-10T10:59:00.512506-06:00,2025-11-10T10:59:00.526495-06:00,2025-11-10T11:03:41.992009-06:00,chat,login,A020,263,74,True
T0000094,2025-11-10T10:59:12.347793-06:00,2025-11-10T10:59:12.349121-06:00,2025-11-10T11:03:12.978955-06:00,phone,bug,A020,223,55,True
T0000103,2025-11-10T10:59:14.770560-06:00,2025-11-10T10:59:14.798975-06:00,2025-11-10T11:03:27.752754-06:00,email,billing,A019,212,64,False
T0000086,2025-11-10T10:59:47.707421-06:00,2025-11-10T10:59:47.722560-06:00,2025-11-10T11:04:59.589754-06:00,email,billing,A004,252,67,True
T0000091,2025-11-10T10:59:58.363382-06:00,2025-11-10T10:59:58.373211-06:00,2025-11-10T11:03:52.274379-06:00,chat,bug,A005,184,47,False
T0000143,2025-11-10T11:00:22.298979-06:00,2025-11-10T11:00:22.299421-06:00,2025-11-10T11:03:47.961882-06:00,email,bug,A018,182,63,True
T0000142,2025-11-10T11:00:30.873025-06:00,2025-11-10T11:00:30.873231-06:00,2025-11-10T11:05:48.127238-06:00,phone,bug,A005,268,79,True
T0000159,2025-11-10T11:01:18.409225-06:00,2025-11-10T11:01:18.410262-06:00,2025-11-10T11:04:46.630533-06:00,phone,bug,A012,195,80,True
T0000130,2025-11-10T11:02:51.117222-06:00,2025-11-10T11:02:51.117363-06:00,2025-11-10T11:06:14.904457-06:00,email,bug,A006,163,39,True
T0000165,2025-11-10T11:03:52.885676-06:00,2025-11-10T11:03:52.885813-06:00,2025-11-10T11:11:11.753111-06:00,email,billing,A009,408,74,True
T0000147,2025-11-10T11:06:00.029270-06:00,2025-11-10T11:06:00.029833-06:00,2025-11-10T11:11:18.651381-06:00,email,bug,A001,260,36,True
T0000177,2025-11-10T11:06:02.603667-06:00,2025-11-10T11:06:02.603675-06:00,2025-11-10T11:10:41.317822-06:00,email,bug,A007,227,37,False
T0000174,2025-11-10T11:06:12.752685-06:00,2025-11-10T11:06:12.753394-06:00,2025-11-10T11:11:35.999500-06:00,email,login,A018,303,31,True
T0000150,2025-11-10T11:06:20.831052-06:00,2025-11-10T11:06:20.831188-06:00,2025-11-10T11:09:41.804643-06:00,chat,login,A008,152,51,False
T0000160,2025-11-10T11:08:06.172354-06:00,2025-11-10T11:08:06.172891-06:00,2025-11-10T11:13:45.170944-06:00,email,login,A016,315,61,True
T0000133,2025-11-10T11:08:59.040083-06:00,2025-11-10T11:08:59.040797-06:00,2025-11-10T11:12:31.223426-06:00,chat,login,A003,153,98,True
T0000164,2025-11-10T11:09:32.935295-06:00,2025-11-10T11:09:32.935486-06:00,2025-11-10T11:14:07.995499-06:00,email,bug,A006,253,33,True
T0000157,2025-11-10T11:10:48.211888-06:00,2025-11-10T11:10:48.211933-06:00,2025-11-10T11:15:53.131124-06:00,email,billing,A002,269,54,True
T0000153,2025-11-10T11:11:06.006373-06:00,2025-11-10T11:11:06.006845-06:00,2025-11-10T11:14:27.004003-06:00,phone,bug,A020,184,48,True
T0000140,2025-11-10T11:12:55.657016-06:00,2025-11-10T11:12:55.657167-06:00,2025-11-10T11:17:21.207621-06:00,email,login,A015,208,45,True
T0000151,2025-11-10T11:12:57.055402-06:00,2025-11-10T11:12:57.055760-06:00,2025-11-10T11:17:03.786609-06:00,email,login,A015,232,127,True
T0000155,2025-11-10T11:13:40.989719-06:00,2025-11-10T11:13:40.990286-06:00,2025-11-10T11:17:43.226806-06:00,chat,billing,A020,230,78,True
T0000148,2025-11-10T11:14:00.598955-06:00,2025-11-10T11:14:00.599014-06:00,2025-11-10T11:19:19.643622-06:00,email,bug,A009,270,54,True
T0000167,2025-11-10T11:14:02.248138-06:00,2025-11-10T11:14:02.248816-06:00,2025-11-10T11:17:41.046885-06:00,chat,billing,A004,185,53,True
T0000141,2025-11-10T11:14:03.368481-06:00,2025-11-10T11:14:03.369115-06:00,2025-11-10T11:19:17.897977-06:00,phone,login,A004,255,39,True
T0000168,2025-11-10T11:14:03.443648-06:00,2025-11-10T11:14:03.443781-06:00,2025-11-10T11:17:33.371143-06:00,email,login,A005,184,48,False
T0000127,2025-11-10T11:14:33.455858-06:00,2025-11-10T11:14:33.456060-06:00,2025-11-10T11:18:45.665747-06:00,email,login,A017,205,58,True
T0000166,2025-11-10T11:15:14.151668-06:00,2025-11-10T11:15:14.152957-06:00,2025-11-10T11:19:28.400365-06:00,chat,login,A002,194,89,False
T0000125,2025-11-10T11:15:16.203930-06:00,2025-11-10T11:15:16.204401-06:00,2025-11-10T11:20:35.878120-06:00,phone,billing,A014,260,37,True
T0000154,2025-11-10T11:15:49.138440-06:00,2025-11-10T11:15:49.138683-06:00,2025-11-10T11:21:35.070887-06:00,email,billing,A015,292,59,True
T0000158,2025-11-10T11:15:59.172622-06:00,2025-11-10T11:15:59.172905-06:00,2025-11-10T11:21:08.105833-06:00,email,billing,A015,271,79,True
T0000132,2025-11-10T11:16:03.132750-06:00,2025-11-10T11:16:03.133017-06:00,2025-11-10T11:22:02.242289-06:00,chat,login,A014,311,77,False
T0000156,2025-11-10T11:16:13.922146-06:00,2025-11-10T11:16:13.922342-06:00,2025-11-10T11:20:22.345708-06:00,email,billing,A009,191,45,False
T0000171,2025-11-10T11:16:22.882932-06:00,2025-11-10T11:16:22.882987-06:00,2025-11-10T11:19:55.799310-06:00,email,login,A008,189,82,True
T0000170,2025-11-10T11:16:32.394989-06:00,2025-11-10T11:16:32.395172-06:00,2025-11-10T11:20:24.313749-06:00,chat,billing,A018,196,39,True
T0000135,2025-11-10T11:17:05.685859-06:00,2025-11-10T11:17:05.685952-06:00,2025-11-10T11:20:38.366148-06:00,phone,bug,A011,203,45,True
T0000173,2025-11-10T11:17:06.628970-06:00,2025-11-10T11:17:06.629146-06:00,2025-11-10T11:21:48.228020-06:00,phone,billing,A002,251,63,False
T0000161,2025-11-10T11:17:11.630262-06:00,2025-11-10T11:17:11.630557-06:00,2025-11-10T11:24:42.992226-06:00,email,bug,A013,405,125,False
T0000145,2025-11-10T11:17:20.953733-06:00,2025-11-10T11:17:20.953905-06:00,2025-11-10T11:21:21.717197-06:00,chat,login,A001,199,95,False
T0000131,2025-11-10T11:18:30.103403-06:00,2025-11-10T11:18:30.103885-06:00,2025-11-10T11:24:51.434645-06:00,chat,billing,A001,381,56,False
T0000175,2025-11-10T11:18:47.925171-06:00,2025-11-10T11:18:47.925243-06:00,2025-11-10T11:23:35.369294-06:00,chat,billing,A007,238,79,True
T0000169,2025-11-10T11:19:18.249478-06:00,2025-11-10T11:19:18.249690-06:00,2025-11-10T11:25:19.663177-06:00,email,billing,A001,315,44,True
T0000162,2025-11-10T11:19:58.212725-06:00,2025-11-10T11:19:58.213080-06:00,2025-11-10T11:23:12.146159-06:00,chat,login,A001,178,108,True
T0000176,2025-11-10T11:20:01.651239-06:00,2025-11-10T11:20:01.651509-06:00,2025-11-10T11:24:51.527592-06:00,phone,login,A011,248,69,False
T0000126,2025-11-10T11:20:28.462319-06:00,2025-11-10T11:20:28.462603-06:00,2025-11-10T11:26:09.151334-06:00,email,login,A006,335,53,True
T0000129,2025-11-10T11:23:09.257597-06:00,2025-11-10T11:23:09.257835-06:00,2025-11-10T11:28:51.544486-06:00,email,bug,A010,288,34,False
T0000134,2025-11-10T11:23:18.296465-06:00,2025-11-10T11:23:18.296732-06:00,2025-11-10T11:27:55.710543-06:00,email,login,A002,255,54,True
T0000138,2025-11-10T11:23:24.301540-06:00,2025-11-10T11:23:24.301619-06:00,2025-11-10T11:28:46.196894-06:00,email,bug,A010,302,74,True
T0000152,2025-11-10T11:24:20.784611-06:00,2025-11-10T11:24:20.785093-06:00,2025-11-10T11:28:37.866186-06:00,chat,bug,A005,232,51,True
T0000172,2025-11-10T11:24:54.250024-06:00,2025-11-10T11:24:54.251103-06:00,2025-11-10T11:29:51.896760-06:00,email,login,A016,246,50,True
T0000128,2025-11-10T11:25:30.379767-06:00,2025-11-10T11:25:30.379893-06:00,2025-11-10T11:29:52.960926-06:00,email,login,A011,241,49,False
T0000163,2025-11-10T11:25:45.795513-06:00,2025-11-10T11:25:45.796422-06:00,2025-11-10T11:30:07.442314-06:00,email,login,A010,223,36,True
T0000146,2025-11-10T11:26:28.313763-06:00,2025-11-10T11:26:28.315156-06:00,2025-11-10T11:32:20.966935-06:00,email,login,A007,295,37,True
T0000136,2025-11-10T11:26:32.504106-06:00,2025-11-10T11:26:32.504755-06:00,2025-11-10T11:30:52.571533-06:00,chat,bug,A016,211,50,True
T0000149,2025-11-10T11:27:29.068554-06:00,2025-11-10T11:27:29.068665-06:00,2025-11-10T11:31:43.252639-06:00,email,billing,A002,200,58,True
T0000144,2025-11-10T11:29:04.829306-06:00,2025-11-10T11:29:04.829340-06:00,2025-11-10T11:35:09.177484-06:00,chat,login,A004,356,63,True
